0,1,Polygon
moped,1.0,0
moped,3.0,1
bicycle,6.0,2
moped,1.0,2
moped,1.0,3
moped,17.0,4
cargo_bicycle,1.0,5
moped,6.0,5
bicycle,4.0,6
cargo_bicycle,2.0,6
moped,13.0,6
bicycle,21.0,8
moped,10.0,8
bicycle,9.0,9
moped,12.0,9
bicycle,8.0,10
cargo_bicycle,10.0,10
moped,4.0,10
cargo_bicycle,6.0,11
moped,2.0,11
cargo_bicycle,6.0,12
moped,3.0,12
moped,2.0,13
bicycle,16.0,14
cargo_bicycle,1.0,14
moped,8.0,14
bicycle,43.0,15
cargo_bicycle,2.0,15
moped,87.0,15
bicycle,12.0,16
moped,24.0,16
bicycle,13.0,17
moped,10.0,17
cargo_bicycle,1.0,19
moped,5.0,19
moped,2.0,20
cargo_bicycle,2.0,21
moped,12.0,21
bicycle,15.0,22
moped,4.0,22
moped,8.0,23
cargo_bicycle,1.0,24
moped,12.0,24
bicycle,15.0,25
moped,7.0,25
bicycle,13.0,26
moped,35.0,26
bicycle,34.0,27
cargo_bicycle,11.0,27
moped,21.0,27
bicycle,5.0,28
cargo_bicycle,2.0,28
moped,12.0,28
bicycle,14.0,29
cargo_bicycle,4.0,29
moped,6.0,29
bicycle,2.0,30
cargo_bicycle,4.0,30
moped,2.0,30
bicycle,2.0,31
cargo_bicycle,4.0,31
moped,1.0,31
bicycle,6.0,32
bicycle,2.0,33
cargo_bicycle,2.0,33
moped,4.0,33
bicycle,11.0,34
cargo_bicycle,8.0,34
moped,31.0,34
bicycle,9.0,36
cargo_bicycle,2.0,36
moped,13.0,36
bicycle,12.0,37
cargo_bicycle,6.0,37
moped,10.0,37
bicycle,16.0,38
cargo_bicycle,10.0,38
moped,13.0,38
bicycle,2.0,39
cargo_bicycle,2.0,39
moped,1.0,39
bicycle,2.0,40
cargo_bicycle,5.0,40
moped,9.0,40
bicycle,36.0,41
moped,20.0,41
bicycle,13.0,42
moped,4.0,42
bicycle,3.0,43
moped,33.0,43
moped,42.0,44
moped,22.0,45
bicycle,17.0,46
moped,9.0,46
cargo_bicycle,2.0,47
moped,14.0,47
cargo_bicycle,2.0,48
moped,15.0,48
moped,1.0,49
bicycle,6.0,50
cargo_bicycle,1.0,50
moped,4.0,50
bicycle,8.0,55
moped,10.0,55
moped,6.0,56
cargo_bicycle,1.0,58
moped,3.0,58
moped,2.0,59
bicycle,14.0,65
moped,3.0,65
bicycle,2.0,66
moped,1.0,66
bicycle,22.0,67
moped,26.0,67
bicycle,5.0,69
moped,6.0,69
bicycle,2.0,70
moped,2.0,70
moped,4.0,71
moped,2.0,72
bicycle,6.0,74
cargo_bicycle,5.0,74
moped,4.0,74
moped,3.0,75
moped,4.0,76
bicycle,2.0,85
moped,3.0,85
bicycle,9.0,86
cargo_bicycle,2.0,86
moped,4.0,86
moped,1.0,87
bicycle,19.0,88
moped,9.0,88
bicycle,2.0,94
moped,25.0,94
bicycle,3.0,95
cargo_bicycle,2.0,95
moped,15.0,95
moped,7.0,96
moped,8.0,97
scooter,1.0,97
bicycle,3.0,98
moped,2.0,98
bicycle,10.0,99
moped,5.0,99
bicycle,1.0,100
moped,2.0,100
bicycle,2.0,101
moped,16.0,101
moped,2.0,102
moped,46.0,103
bicycle,5.0,104
moped,5.0,104
moped,2.0,105
bicycle,10.0,106
cargo_bicycle,1.0,106
moped,1.0,106
bicycle,7.0,107
moped,1.0,107
bicycle,8.0,108
cargo_bicycle,1.0,108
moped,2.0,108
moped,1.0,109
