0,1,Polygon
moped,5.0,0
moped,5.0,1
bicycle,4.0,2
moped,4.0,3
moped,14.0,4
moped,9.0,5
bicycle,2.0,6
cargo_bicycle,2.0,6
moped,2.0,6
bicycle,6.0,8
moped,10.0,8
bicycle,2.0,9
cargo_bicycle,1.0,9
moped,1.0,9
bicycle,3.0,10
cargo_bicycle,9.0,10
moped,3.0,10
cargo_bicycle,3.0,11
cargo_bicycle,8.0,12
moped,3.0,12
moped,7.0,13
bicycle,4.0,14
moped,1.0,14
bicycle,20.0,15
cargo_bicycle,2.0,15
moped,34.0,15
bicycle,25.0,16
moped,24.0,16
bicycle,14.0,17
moped,3.0,17
moped,9.0,18
moped,4.0,19
moped,3.0,20
moped,4.0,21
bicycle,12.0,22
moped,1.0,22
moped,16.0,23
moped,9.0,24
bicycle,12.0,25
moped,3.0,25
bicycle,15.0,26
moped,32.0,26
bicycle,18.0,27
cargo_bicycle,8.0,27
moped,13.0,27
bicycle,5.0,28
moped,4.0,28
bicycle,14.0,29
cargo_bicycle,1.0,29
moped,2.0,29
cargo_bicycle,2.0,30
moped,1.0,30
bicycle,1.0,31
cargo_bicycle,5.0,31
moped,6.0,31
bicycle,5.0,32
cargo_bicycle,1.0,32
bicycle,3.0,33
cargo_bicycle,3.0,33
moped,10.0,33
bicycle,10.0,34
cargo_bicycle,6.0,34
moped,19.0,34
cargo_bicycle,1.0,36
moped,22.0,36
bicycle,13.0,37
cargo_bicycle,4.0,37
moped,12.0,37
bicycle,9.0,38
cargo_bicycle,8.0,38
moped,5.0,38
bicycle,5.0,39
cargo_bicycle,2.0,39
bicycle,3.0,40
cargo_bicycle,1.0,40
moped,22.0,40
bicycle,27.0,41
moped,21.0,41
bicycle,11.0,42
moped,8.0,42
bicycle,5.0,43
moped,5.0,43
moped,31.0,44
moped,26.0,45
bicycle,16.0,46
moped,9.0,46
cargo_bicycle,1.0,47
moped,9.0,47
cargo_bicycle,2.0,48
moped,7.0,48
bicycle,6.0,50
cargo_bicycle,1.0,50
moped,9.0,50
moped,1.0,54
bicycle,10.0,55
moped,8.0,55
moped,12.0,56
cargo_bicycle,1.0,58
moped,1.0,58
moped,4.0,59
bicycle,16.0,65
moped,5.0,65
bicycle,1.0,66
bicycle,20.0,67
moped,13.0,67
bicycle,5.0,69
moped,3.0,69
bicycle,2.0,70
moped,4.0,70
moped,2.0,71
moped,10.0,72
moped,2.0,73
bicycle,3.0,74
cargo_bicycle,3.0,74
moped,2.0,74
moped,6.0,75
bicycle,2.0,85
moped,12.0,85
bicycle,3.0,86
cargo_bicycle,2.0,86
moped,11.0,86
bicycle,11.0,88
moped,13.0,88
bicycle,2.0,94
moped,17.0,94
bicycle,2.0,95
cargo_bicycle,2.0,95
moped,21.0,95
moped,32.0,96
moped,17.0,97
scooter,1.0,97
bicycle,3.0,98
bicycle,5.0,99
moped,10.0,99
bicycle,1.0,100
moped,1.0,100
bicycle,1.0,101
moped,26.0,101
moped,13.0,102
moped,35.0,103
bicycle,7.0,104
moped,1.0,104
moped,6.0,105
bicycle,5.0,106
cargo_bicycle,1.0,106
moped,1.0,106
bicycle,2.0,107
moped,8.0,107
bicycle,1.0,108
moped,4.0,108
moped,2.0,109
