0,1,Polygon
moped,16.0,0
moped,3.0,1
bicycle,3.0,2
moped,4.0,2
moped,4.0,3
moped,6.0,4
cargo_bicycle,5.0,5
moped,28.0,5
bicycle,5.0,6
cargo_bicycle,2.0,6
moped,18.0,6
moped,1.0,7
bicycle,9.0,8
moped,9.0,8
bicycle,12.0,9
moped,4.0,9
bicycle,8.0,10
cargo_bicycle,14.0,10
moped,12.0,10
cargo_bicycle,6.0,11
moped,6.0,11
cargo_bicycle,4.0,12
moped,9.0,12
moped,9.0,13
bicycle,5.0,14
cargo_bicycle,1.0,14
moped,1.0,14
bicycle,30.0,15
cargo_bicycle,1.0,15
moped,8.0,15
bicycle,19.0,16
cargo_bicycle,1.0,16
moped,9.0,16
bicycle,9.0,17
moped,5.0,17
moped,9.0,18
cargo_bicycle,1.0,19
moped,7.0,19
moped,3.0,20
cargo_bicycle,1.0,21
moped,8.0,21
bicycle,12.0,22
moped,6.0,22
moped,38.0,23
moped,4.0,24
bicycle,9.0,25
moped,7.0,25
bicycle,13.0,26
moped,9.0,26
bicycle,44.0,27
cargo_bicycle,8.0,27
moped,27.0,27
bicycle,12.0,28
cargo_bicycle,3.0,28
moped,8.0,28
bicycle,35.0,29
cargo_bicycle,1.0,29
moped,10.0,29
bicycle,4.0,30
cargo_bicycle,4.0,30
moped,9.0,30
bicycle,5.0,31
cargo_bicycle,2.0,31
moped,4.0,31
bicycle,3.0,32
cargo_bicycle,2.0,32
moped,7.0,32
bicycle,5.0,33
cargo_bicycle,3.0,33
moped,4.0,33
bicycle,10.0,34
cargo_bicycle,8.0,34
moped,16.0,34
bicycle,7.0,36
cargo_bicycle,1.0,36
moped,28.0,36
bicycle,17.0,37
cargo_bicycle,7.0,37
moped,9.0,37
bicycle,15.0,38
cargo_bicycle,6.0,38
moped,28.0,38
bicycle,3.0,39
cargo_bicycle,2.0,39
moped,1.0,39
bicycle,7.0,40
cargo_bicycle,2.0,40
moped,12.0,40
bicycle,68.0,41
moped,15.0,41
bicycle,22.0,42
moped,5.0,42
bicycle,9.0,43
moped,14.0,43
moped,22.0,44
moped,12.0,45
bicycle,20.0,46
moped,5.0,46
cargo_bicycle,3.0,47
moped,9.0,47
cargo_bicycle,2.0,48
moped,9.0,48
bicycle,5.0,50
cargo_bicycle,1.0,50
moped,3.0,50
bicycle,7.0,55
moped,15.0,55
moped,10.0,56
cargo_bicycle,1.0,58
moped,3.0,58
moped,7.0,59
moped,3.0,62
bicycle,13.0,65
moped,18.0,65
bicycle,1.0,66
cargo_bicycle,1.0,66
moped,5.0,66
bicycle,15.0,67
moped,9.0,67
bicycle,13.0,69
moped,2.0,69
moped,6.0,70
moped,12.0,72
bicycle,6.0,74
cargo_bicycle,3.0,74
moped,8.0,74
moped,8.0,75
moped,3.0,76
bicycle,1.0,85
moped,7.0,85
bicycle,4.0,86
moped,9.0,86
moped,4.0,87
bicycle,12.0,88
moped,3.0,88
bicycle,6.0,94
moped,2.0,94
bicycle,2.0,95
cargo_bicycle,2.0,95
moped,8.0,96
moped,1.0,97
scooter,1.0,97
bicycle,9.0,98
moped,1.0,98
bicycle,17.0,99
moped,28.0,99
bicycle,3.0,100
moped,5.0,100
bicycle,7.0,101
moped,12.0,101
bicycle,1.0,102
moped,12.0,102
moped,10.0,103
bicycle,5.0,104
moped,13.0,104
moped,5.0,105
bicycle,2.0,106
cargo_bicycle,1.0,106
moped,9.0,106
bicycle,2.0,107
moped,10.0,107
bicycle,10.0,108
cargo_bicycle,1.0,108
moped,7.0,108
moped,19.0,109
