0,1,Polygon
moped,3.0,0
moped,7.0,1
moped,2.0,2
moped,9.0,3
cargo_bicycle,1.0,4
moped,20.0,4
cargo_bicycle,3.0,5
moped,25.0,5
bicycle,1.0,6
cargo_bicycle,4.0,6
moped,27.0,6
bicycle,14.0,8
moped,12.0,8
bicycle,10.0,9
moped,4.0,9
bicycle,12.0,10
cargo_bicycle,12.0,10
moped,11.0,10
cargo_bicycle,5.0,11
moped,18.0,11
cargo_bicycle,5.0,12
moped,8.0,12
moped,7.0,13
bicycle,5.0,14
moped,2.0,14
bicycle,38.0,15
cargo_bicycle,1.0,15
moped,10.0,15
bicycle,14.0,16
cargo_bicycle,1.0,16
moped,22.0,16
bicycle,6.0,17
moped,10.0,17
moped,19.0,18
moped,2.0,19
moped,6.0,20
cargo_bicycle,2.0,21
moped,11.0,21
bicycle,8.0,22
moped,10.0,22
moped,29.0,23
cargo_bicycle,1.0,24
moped,8.0,24
bicycle,2.0,25
moped,8.0,25
bicycle,8.0,26
moped,14.0,26
bicycle,36.0,27
cargo_bicycle,13.0,27
moped,33.0,27
bicycle,13.0,28
cargo_bicycle,2.0,28
moped,6.0,28
bicycle,21.0,29
cargo_bicycle,2.0,29
moped,5.0,29
bicycle,2.0,30
cargo_bicycle,1.0,30
moped,7.0,30
bicycle,5.0,31
cargo_bicycle,3.0,31
moped,16.0,31
bicycle,3.0,32
cargo_bicycle,1.0,32
moped,4.0,32
bicycle,3.0,33
cargo_bicycle,3.0,33
moped,17.0,33
bicycle,15.0,34
cargo_bicycle,7.0,34
moped,18.0,34
bicycle,9.0,36
cargo_bicycle,2.0,36
moped,37.0,36
bicycle,15.0,37
cargo_bicycle,6.0,37
moped,9.0,37
bicycle,20.0,38
cargo_bicycle,7.0,38
moped,13.0,38
bicycle,6.0,39
cargo_bicycle,2.0,39
moped,1.0,39
cargo_bicycle,6.0,40
moped,7.0,40
bicycle,74.0,41
moped,11.0,41
bicycle,21.0,42
moped,6.0,42
bicycle,12.0,43
moped,20.0,43
moped,19.0,44
moped,20.0,45
bicycle,14.0,46
moped,11.0,46
cargo_bicycle,3.0,47
moped,8.0,47
cargo_bicycle,2.0,48
moped,14.0,48
bicycle,6.0,50
cargo_bicycle,1.0,50
moped,5.0,50
bicycle,9.0,55
moped,16.0,55
moped,15.0,56
cargo_bicycle,1.0,58
moped,1.0,58
moped,12.0,59
moped,1.0,62
bicycle,17.0,65
moped,5.0,65
moped,6.0,66
bicycle,16.0,67
moped,3.0,67
bicycle,4.0,69
moped,4.0,69
bicycle,2.0,70
moped,4.0,70
moped,1.0,71
moped,11.0,72
moped,3.0,73
bicycle,5.0,74
cargo_bicycle,4.0,74
moped,8.0,74
moped,10.0,75
moped,3.0,76
bicycle,1.0,85
moped,4.0,85
bicycle,5.0,86
cargo_bicycle,2.0,86
moped,9.0,86
moped,3.0,87
bicycle,8.0,88
moped,1.0,88
bicycle,2.0,94
moped,3.0,94
bicycle,4.0,95
cargo_bicycle,3.0,95
moped,4.0,95
moped,19.0,96
moped,1.0,97
scooter,1.0,97
bicycle,1.0,98
moped,5.0,98
bicycle,16.0,99
moped,19.0,99
bicycle,1.0,100
moped,11.0,100
bicycle,7.0,101
moped,9.0,101
bicycle,1.0,102
moped,10.0,102
moped,29.0,103
bicycle,4.0,104
moped,12.0,104
moped,6.0,105
bicycle,13.0,106
cargo_bicycle,1.0,106
moped,9.0,106
bicycle,6.0,107
moped,13.0,107
bicycle,8.0,108
moped,4.0,108
moped,8.0,109
