Polygon,0,1
1,moped,4.0
2,bicycle,6.0
2,moped,5.0
3,moped,9.0
4,moped,11.0
5,cargo_bicycle,3.0
5,moped,3.0
6,bicycle,7.0
6,cargo_bicycle,3.0
6,moped,1.0
7,moped,2.0
8,bicycle,5.0
8,moped,8.0
9,bicycle,7.0
9,moped,6.0
10,bicycle,6.0
10,cargo_bicycle,15.0
10,moped,3.0
11,cargo_bicycle,5.0
12,cargo_bicycle,6.0
13,moped,2.0
14,bicycle,4.0
14,cargo_bicycle,1.0
14,moped,4.0
15,bicycle,25.0
15,cargo_bicycle,2.0
15,moped,97.0
16,bicycle,28.0
16,moped,21.0
17,bicycle,14.0
17,moped,8.0
18,moped,1.0
20,cargo_bicycle,1.0
20,moped,5.0
21,cargo_bicycle,2.0
21,moped,5.0
22,bicycle,19.0
22,moped,7.0
23,moped,12.0
24,cargo_bicycle,2.0
24,moped,5.0
25,bicycle,12.0
25,moped,19.0
26,bicycle,16.0
26,moped,48.0
27,bicycle,27.0
27,cargo_bicycle,13.0
27,moped,19.0
28,bicycle,6.0
28,cargo_bicycle,3.0
28,moped,2.0
29,bicycle,25.0
29,cargo_bicycle,1.0
29,moped,6.0
30,bicycle,1.0
30,cargo_bicycle,3.0
31,bicycle,6.0
31,cargo_bicycle,4.0
31,moped,1.0
32,bicycle,4.0
32,cargo_bicycle,1.0
32,moped,1.0
33,bicycle,2.0
33,cargo_bicycle,3.0
33,moped,3.0
34,bicycle,12.0
34,cargo_bicycle,8.0
34,moped,31.0
36,bicycle,2.0
36,cargo_bicycle,2.0
36,moped,18.0
37,bicycle,25.0
37,cargo_bicycle,6.0
37,moped,5.0
38,bicycle,19.0
38,cargo_bicycle,7.0
38,moped,16.0
39,bicycle,5.0
39,cargo_bicycle,2.0
40,bicycle,5.0
40,cargo_bicycle,2.0
40,moped,14.0
41,bicycle,76.0
41,moped,25.0
42,bicycle,23.0
42,moped,8.0
43,bicycle,4.0
43,moped,16.0
44,moped,24.0
45,moped,7.0
46,bicycle,18.0
46,moped,1.0
47,cargo_bicycle,2.0
47,moped,12.0
48,cargo_bicycle,2.0
48,moped,12.0
50,bicycle,6.0
50,cargo_bicycle,1.0
50,moped,4.0
54,moped,2.0
55,bicycle,11.0
55,moped,8.0
56,moped,10.0
58,cargo_bicycle,1.0
58,moped,3.0
59,moped,7.0
65,bicycle,10.0
65,moped,22.0
66,bicycle,1.0
66,moped,3.0
67,bicycle,21.0
67,moped,23.0
69,bicycle,8.0
69,moped,1.0
70,bicycle,3.0
70,moped,4.0
71,moped,6.0
72,moped,14.0
74,bicycle,4.0
74,cargo_bicycle,5.0
74,moped,2.0
75,moped,5.0
76,moped,1.0
85,bicycle,4.0
85,moped,4.0
86,bicycle,6.0
86,cargo_bicycle,2.0
86,moped,10.0
87,moped,2.0
88,bicycle,10.0
88,moped,10.0
94,bicycle,2.0
94,moped,19.0
95,bicycle,8.0
95,cargo_bicycle,2.0
95,moped,14.0
96,moped,27.0
97,moped,3.0
97,scooter,1.0
98,bicycle,6.0
98,moped,3.0
99,bicycle,10.0
99,moped,12.0
100,bicycle,1.0
100,moped,2.0
101,bicycle,10.0
101,moped,21.0
102,bicycle,1.0
102,moped,3.0
103,moped,45.0
104,bicycle,6.0
104,moped,1.0
105,moped,1.0
106,bicycle,8.0
106,cargo_bicycle,1.0
107,bicycle,6.0
107,moped,2.0
108,bicycle,5.0
108,cargo_bicycle,1.0
108,moped,2.0
