0,1,Polygon
moped,3.0,0
moped,10.0,1
bicycle,6.0,2
moped,8.0,2
moped,6.0,3
moped,6.0,4
cargo_bicycle,2.0,5
moped,12.0,5
bicycle,7.0,6
cargo_bicycle,3.0,6
moped,15.0,6
bicycle,11.0,8
moped,14.0,8
bicycle,7.0,9
moped,9.0,9
bicycle,7.0,10
cargo_bicycle,14.0,10
moped,22.0,10
cargo_bicycle,6.0,11
moped,8.0,11
cargo_bicycle,8.0,12
moped,16.0,12
moped,12.0,13
bicycle,4.0,14
cargo_bicycle,1.0,14
bicycle,24.0,15
cargo_bicycle,2.0,15
moped,14.0,15
bicycle,28.0,16
moped,24.0,16
bicycle,16.0,17
moped,5.0,17
moped,9.0,18
moped,8.0,19
cargo_bicycle,2.0,20
moped,3.0,20
cargo_bicycle,2.0,21
moped,13.0,21
bicycle,18.0,22
moped,7.0,22
moped,17.0,23
cargo_bicycle,2.0,24
bicycle,12.0,25
moped,10.0,25
bicycle,17.0,26
moped,39.0,26
bicycle,43.0,27
cargo_bicycle,13.0,27
moped,27.0,27
bicycle,7.0,28
cargo_bicycle,3.0,28
moped,7.0,28
bicycle,21.0,29
cargo_bicycle,2.0,29
moped,3.0,29
bicycle,2.0,30
cargo_bicycle,4.0,30
moped,7.0,30
bicycle,5.0,31
cargo_bicycle,5.0,31
moped,9.0,31
bicycle,5.0,32
cargo_bicycle,2.0,32
moped,2.0,32
bicycle,4.0,33
cargo_bicycle,3.0,33
moped,4.0,33
bicycle,12.0,34
cargo_bicycle,8.0,34
moped,30.0,34
bicycle,8.0,36
cargo_bicycle,2.0,36
moped,17.0,36
bicycle,24.0,37
cargo_bicycle,7.0,37
moped,8.0,37
bicycle,16.0,38
cargo_bicycle,8.0,38
moped,18.0,38
bicycle,6.0,39
cargo_bicycle,2.0,39
moped,1.0,39
bicycle,4.0,40
cargo_bicycle,5.0,40
moped,16.0,40
bicycle,78.0,41
moped,3.0,41
bicycle,18.0,42
moped,5.0,42
bicycle,4.0,43
moped,21.0,43
moped,18.0,44
moped,2.0,45
bicycle,22.0,46
moped,1.0,46
cargo_bicycle,3.0,47
moped,7.0,47
cargo_bicycle,2.0,48
moped,10.0,48
bicycle,6.0,50
cargo_bicycle,1.0,50
moped,3.0,50
moped,3.0,54
bicycle,11.0,55
moped,7.0,55
moped,12.0,56
cargo_bicycle,1.0,58
moped,4.0,58
moped,8.0,59
bicycle,9.0,65
moped,11.0,65
bicycle,1.0,66
moped,7.0,66
bicycle,22.0,67
moped,24.0,67
bicycle,7.0,69
moped,5.0,69
bicycle,2.0,70
moped,6.0,70
moped,4.0,71
moped,11.0,72
moped,2.0,73
bicycle,6.0,74
cargo_bicycle,5.0,74
moped,2.0,74
moped,10.0,75
moped,2.0,76
bicycle,4.0,85
moped,10.0,85
bicycle,10.0,86
cargo_bicycle,2.0,86
moped,12.0,86
moped,5.0,87
bicycle,10.0,88
moped,8.0,88
bicycle,3.0,94
moped,6.0,94
bicycle,8.0,95
cargo_bicycle,2.0,95
moped,4.0,95
moped,28.0,96
moped,5.0,97
scooter,1.0,97
bicycle,5.0,98
moped,7.0,98
bicycle,13.0,99
moped,32.0,99
bicycle,1.0,100
moped,4.0,100
bicycle,6.0,101
moped,16.0,101
moped,15.0,102
moped,31.0,103
bicycle,6.0,104
moped,5.0,104
moped,9.0,105
bicycle,8.0,106
cargo_bicycle,1.0,106
moped,17.0,106
bicycle,6.0,107
moped,16.0,107
bicycle,3.0,108
cargo_bicycle,1.0,108
moped,7.0,108
moped,5.0,109
