Polygon,0,1
1,moped,2.0
2,moped,4.0
3,moped,2.0
4,moped,8.0
5,cargo_bicycle,3.0
5,moped,2.0
6,bicycle,4.0
6,cargo_bicycle,5.0
6,moped,2.0
8,bicycle,10.0
8,moped,37.0
9,bicycle,3.0
9,moped,9.0
10,bicycle,4.0
10,cargo_bicycle,6.0
10,moped,5.0
11,cargo_bicycle,4.0
12,cargo_bicycle,3.0
12,moped,2.0
13,moped,1.0
14,bicycle,8.0
14,moped,8.0
15,bicycle,29.0
15,cargo_bicycle,1.0
15,moped,45.0
16,bicycle,9.0
16,moped,12.0
17,bicycle,16.0
17,moped,14.0
18,moped,4.0
19,moped,1.0
21,moped,6.0
22,bicycle,7.0
22,moped,5.0
23,moped,10.0
24,moped,6.0
25,bicycle,3.0
25,moped,8.0
26,bicycle,5.0
26,moped,37.0
27,bicycle,31.0
27,cargo_bicycle,4.0
27,moped,12.0
28,bicycle,2.0
28,cargo_bicycle,2.0
28,moped,2.0
29,bicycle,20.0
29,cargo_bicycle,2.0
29,moped,3.0
30,bicycle,2.0
30,cargo_bicycle,1.0
30,moped,5.0
31,bicycle,7.0
31,moped,2.0
32,bicycle,3.0
33,bicycle,2.0
33,cargo_bicycle,2.0
33,moped,9.0
34,bicycle,11.0
34,cargo_bicycle,4.0
34,moped,34.0
36,bicycle,6.0
36,moped,19.0
37,bicycle,9.0
37,cargo_bicycle,2.0
37,moped,16.0
38,bicycle,9.0
38,cargo_bicycle,3.0
38,moped,21.0
39,bicycle,2.0
39,cargo_bicycle,2.0
39,moped,1.0
40,bicycle,1.0
40,moped,5.0
41,bicycle,26.0
41,moped,12.0
42,bicycle,18.0
42,moped,2.0
43,bicycle,2.0
43,moped,17.0
44,moped,8.0
45,moped,12.0
46,bicycle,16.0
46,moped,2.0
47,cargo_bicycle,1.0
47,moped,2.0
48,cargo_bicycle,2.0
48,moped,4.0
50,bicycle,5.0
50,cargo_bicycle,1.0
50,moped,9.0
54,moped,2.0
55,bicycle,4.0
55,moped,20.0
56,moped,8.0
57,moped,1.0
65,bicycle,11.0
65,moped,26.0
66,moped,1.0
67,bicycle,13.0
67,moped,10.0
69,bicycle,2.0
69,moped,13.0
70,bicycle,1.0
70,moped,4.0
71,moped,6.0
72,moped,5.0
73,moped,2.0
74,bicycle,6.0
74,cargo_bicycle,2.0
74,moped,3.0
75,moped,7.0
76,moped,4.0
85,moped,7.0
86,bicycle,2.0
86,cargo_bicycle,2.0
86,moped,5.0
88,bicycle,7.0
88,moped,9.0
94,bicycle,1.0
94,moped,6.0
95,bicycle,5.0
95,cargo_bicycle,2.0
95,moped,3.0
96,moped,9.0
97,moped,2.0
97,scooter,1.0
98,moped,2.0
99,bicycle,4.0
99,moped,17.0
100,bicycle,1.0
100,moped,6.0
101,bicycle,5.0
101,moped,10.0
102,moped,4.0
103,moped,31.0
104,moped,1.0
105,moped,4.0
106,bicycle,1.0
106,cargo_bicycle,1.0
106,moped,1.0
107,bicycle,3.0
107,moped,2.0
108,bicycle,5.0
108,cargo_bicycle,1.0
