0,1,Polygon
moped,7.0,0
moped,9.0,1
bicycle,6.0,2
moped,3.0,2
moped,14.0,3
moped,16.0,4
cargo_bicycle,2.0,5
moped,17.0,5
bicycle,5.0,6
cargo_bicycle,2.0,6
moped,15.0,6
bicycle,20.0,8
moped,14.0,8
bicycle,9.0,9
moped,7.0,9
bicycle,7.0,10
cargo_bicycle,12.0,10
moped,17.0,10
cargo_bicycle,6.0,11
moped,8.0,11
cargo_bicycle,7.0,12
moped,10.0,12
moped,9.0,13
bicycle,16.0,14
cargo_bicycle,1.0,14
moped,2.0,14
bicycle,49.0,15
cargo_bicycle,1.0,15
moped,22.0,15
bicycle,13.0,16
cargo_bicycle,1.0,16
moped,19.0,16
bicycle,9.0,17
moped,11.0,17
moped,10.0,18
moped,7.0,19
cargo_bicycle,1.0,20
moped,2.0,20
cargo_bicycle,2.0,21
moped,12.0,21
bicycle,16.0,22
moped,9.0,22
moped,19.0,23
cargo_bicycle,2.0,24
moped,4.0,24
bicycle,14.0,25
moped,14.0,25
bicycle,13.0,26
moped,18.0,26
bicycle,30.0,27
cargo_bicycle,13.0,27
moped,15.0,27
bicycle,5.0,28
cargo_bicycle,2.0,28
moped,5.0,28
bicycle,13.0,29
cargo_bicycle,4.0,29
moped,1.0,29
bicycle,1.0,30
cargo_bicycle,4.0,30
moped,4.0,30
bicycle,1.0,31
cargo_bicycle,4.0,31
moped,13.0,31
bicycle,4.0,32
cargo_bicycle,1.0,32
moped,5.0,32
bicycle,1.0,33
cargo_bicycle,2.0,33
moped,6.0,33
bicycle,11.0,34
cargo_bicycle,7.0,34
moped,30.0,34
bicycle,11.0,36
cargo_bicycle,2.0,36
moped,12.0,36
bicycle,18.0,37
cargo_bicycle,7.0,37
moped,10.0,37
bicycle,18.0,38
cargo_bicycle,10.0,38
moped,24.0,38
bicycle,3.0,39
cargo_bicycle,2.0,39
moped,1.0,39
bicycle,2.0,40
cargo_bicycle,5.0,40
moped,8.0,40
bicycle,50.0,41
moped,16.0,41
bicycle,7.0,42
moped,7.0,42
bicycle,5.0,43
moped,22.0,43
moped,23.0,44
moped,11.0,45
bicycle,18.0,46
moped,12.0,46
cargo_bicycle,3.0,47
moped,3.0,47
cargo_bicycle,2.0,48
moped,18.0,48
moped,2.0,49
bicycle,6.0,50
cargo_bicycle,1.0,50
moped,5.0,50
bicycle,8.0,55
moped,8.0,55
moped,6.0,56
cargo_bicycle,1.0,58
moped,2.0,58
moped,8.0,59
moped,1.0,62
bicycle,12.0,65
moped,4.0,65
bicycle,2.0,66
moped,13.0,66
bicycle,22.0,67
moped,28.0,67
bicycle,5.0,69
moped,10.0,69
bicycle,2.0,70
moped,2.0,70
moped,2.0,71
moped,2.0,72
bicycle,8.0,74
cargo_bicycle,7.0,74
moped,3.0,74
moped,7.0,75
bicycle,2.0,85
moped,6.0,85
bicycle,9.0,86
cargo_bicycle,2.0,86
moped,8.0,86
moped,3.0,87
bicycle,18.0,88
moped,5.0,88
bicycle,3.0,94
moped,8.0,94
bicycle,4.0,95
cargo_bicycle,2.0,95
moped,10.0,96
moped,4.0,97
scooter,1.0,97
bicycle,3.0,98
moped,6.0,98
bicycle,9.0,99
moped,24.0,99
bicycle,1.0,100
moped,9.0,100
bicycle,2.0,101
moped,14.0,101
moped,7.0,102
moped,34.0,103
bicycle,7.0,104
moped,14.0,104
moped,8.0,105
bicycle,13.0,106
cargo_bicycle,1.0,106
moped,11.0,106
bicycle,5.0,107
moped,18.0,107
bicycle,8.0,108
cargo_bicycle,1.0,108
moped,7.0,108
moped,4.0,109
