0,1,Polygon
moped,4.0,0
moped,1.0,1
moped,1.0,2
moped,12.0,3
moped,17.0,4
cargo_bicycle,2.0,5
moped,23.0,5
bicycle,4.0,6
cargo_bicycle,1.0,6
moped,6.0,6
bicycle,12.0,8
moped,16.0,8
bicycle,10.0,9
moped,7.0,9
bicycle,9.0,10
cargo_bicycle,8.0,10
moped,5.0,10
cargo_bicycle,7.0,11
moped,4.0,11
cargo_bicycle,3.0,12
moped,5.0,12
moped,1.0,13
bicycle,11.0,14
moped,3.0,14
bicycle,23.0,15
cargo_bicycle,1.0,15
moped,80.0,15
bicycle,17.0,16
cargo_bicycle,1.0,16
moped,20.0,16
bicycle,9.0,17
moped,10.0,17
moped,4.0,18
moped,6.0,19
cargo_bicycle,1.0,20
moped,2.0,20
cargo_bicycle,1.0,21
moped,8.0,21
bicycle,14.0,22
moped,2.0,22
moped,16.0,23
cargo_bicycle,1.0,24
moped,9.0,24
bicycle,3.0,25
moped,5.0,25
bicycle,7.0,26
moped,53.0,26
bicycle,37.0,27
cargo_bicycle,11.0,27
moped,11.0,27
bicycle,9.0,28
cargo_bicycle,3.0,28
moped,2.0,28
bicycle,27.0,29
cargo_bicycle,3.0,29
moped,5.0,29
bicycle,1.0,30
cargo_bicycle,3.0,30
moped,3.0,30
bicycle,6.0,31
cargo_bicycle,2.0,31
moped,3.0,31
bicycle,2.0,32
cargo_bicycle,1.0,32
bicycle,6.0,33
cargo_bicycle,1.0,33
moped,3.0,33
bicycle,25.0,34
cargo_bicycle,4.0,34
moped,28.0,34
bicycle,10.0,36
cargo_bicycle,1.0,36
moped,21.0,36
bicycle,13.0,37
cargo_bicycle,5.0,37
moped,4.0,37
bicycle,10.0,38
cargo_bicycle,5.0,38
moped,8.0,38
bicycle,4.0,39
cargo_bicycle,1.0,39
bicycle,4.0,40
moped,4.0,40
bicycle,9.0,41
moped,13.0,41
bicycle,8.0,42
moped,5.0,42
bicycle,7.0,43
moped,31.0,43
moped,19.0,44
moped,13.0,45
bicycle,12.0,46
moped,6.0,46
cargo_bicycle,2.0,47
moped,27.0,47
cargo_bicycle,2.0,48
moped,14.0,48
bicycle,5.0,50
cargo_bicycle,1.0,50
moped,3.0,50
moped,1.0,53
bicycle,2.0,55
moped,13.0,55
moped,10.0,56
cargo_bicycle,1.0,58
moped,2.0,59
bicycle,7.0,65
moped,7.0,65
bicycle,1.0,66
moped,1.0,66
bicycle,18.0,67
moped,11.0,67
moped,1.0,68
bicycle,4.0,69
moped,3.0,69
bicycle,3.0,70
moped,2.0,70
moped,3.0,71
moped,3.0,72
bicycle,7.0,74
cargo_bicycle,4.0,74
moped,3.0,74
moped,2.0,75
moped,1.0,76
moped,5.0,85
bicycle,3.0,86
cargo_bicycle,3.0,86
moped,3.0,86
moped,2.0,87
bicycle,9.0,88
moped,1.0,88
bicycle,2.0,94
moped,24.0,94
bicycle,8.0,95
cargo_bicycle,2.0,95
moped,6.0,95
moped,17.0,96
moped,2.0,97
scooter,1.0,97
moped,2.0,98
bicycle,9.0,99
moped,12.0,99
bicycle,1.0,100
moped,5.0,100
bicycle,6.0,101
moped,20.0,101
bicycle,1.0,102
moped,9.0,102
moped,48.0,103
bicycle,4.0,104
moped,2.0,104
moped,1.0,105
bicycle,2.0,106
cargo_bicycle,1.0,106
moped,1.0,106
bicycle,4.0,107
moped,1.0,107
bicycle,3.0,108
cargo_bicycle,1.0,108
moped,2.0,109
