0,1,Polygon
moped,3.0,0
moped,2.0,1
moped,1.0,2
moped,2.0,3
moped,14.0,4
cargo_bicycle,4.0,5
moped,6.0,5
bicycle,4.0,6
cargo_bicycle,3.0,6
moped,4.0,6
bicycle,8.0,8
moped,9.0,8
bicycle,1.0,9
moped,9.0,9
bicycle,8.0,10
cargo_bicycle,10.0,10
moped,3.0,10
cargo_bicycle,7.0,11
cargo_bicycle,2.0,12
moped,7.0,12
moped,6.0,13
bicycle,5.0,14
moped,12.0,14
bicycle,29.0,15
cargo_bicycle,1.0,15
moped,86.0,15
bicycle,14.0,16
moped,22.0,16
bicycle,17.0,17
moped,2.0,17
moped,1.0,18
moped,7.0,19
cargo_bicycle,1.0,20
moped,1.0,20
cargo_bicycle,1.0,21
moped,11.0,21
bicycle,11.0,22
moped,7.0,22
moped,18.0,23
cargo_bicycle,1.0,24
moped,18.0,24
bicycle,6.0,25
moped,8.0,25
bicycle,10.0,26
moped,47.0,26
bicycle,44.0,27
cargo_bicycle,7.0,27
moped,37.0,27
bicycle,7.0,28
cargo_bicycle,3.0,28
moped,7.0,28
bicycle,28.0,29
cargo_bicycle,2.0,29
moped,7.0,29
cargo_bicycle,1.0,30
bicycle,3.0,31
moped,4.0,31
bicycle,3.0,32
cargo_bicycle,1.0,32
bicycle,5.0,33
moped,8.0,33
bicycle,12.0,34
cargo_bicycle,3.0,34
moped,17.0,34
bicycle,6.0,36
moped,24.0,36
bicycle,23.0,37
cargo_bicycle,4.0,37
moped,13.0,37
bicycle,10.0,38
cargo_bicycle,4.0,38
moped,10.0,38
bicycle,4.0,39
cargo_bicycle,1.0,39
moped,2.0,39
bicycle,4.0,40
cargo_bicycle,1.0,40
moped,8.0,40
bicycle,51.0,41
moped,28.0,41
bicycle,12.0,42
moped,2.0,42
bicycle,8.0,43
moped,21.0,43
moped,13.0,44
moped,20.0,45
bicycle,19.0,46
moped,4.0,46
cargo_bicycle,3.0,47
moped,17.0,47
cargo_bicycle,2.0,48
moped,17.0,48
bicycle,5.0,50
moped,4.0,50
bicycle,2.0,55
moped,18.0,55
moped,4.0,56
moped,6.0,58
moped,6.0,59
moped,1.0,62
bicycle,16.0,65
moped,14.0,65
bicycle,1.0,66
cargo_bicycle,1.0,66
moped,1.0,66
bicycle,15.0,67
moped,8.0,67
bicycle,12.0,69
moped,3.0,69
moped,9.0,71
moped,9.0,72
bicycle,6.0,74
cargo_bicycle,2.0,74
moped,2.0,74
moped,7.0,75
moped,1.0,76
bicycle,1.0,85
moped,14.0,85
bicycle,4.0,86
moped,8.0,86
moped,8.0,87
bicycle,6.0,88
moped,9.0,88
bicycle,4.0,94
moped,19.0,94
bicycle,3.0,95
cargo_bicycle,2.0,95
moped,9.0,95
moped,12.0,96
moped,1.0,97
scooter,1.0,97
bicycle,4.0,98
moped,3.0,98
bicycle,19.0,99
moped,4.0,99
bicycle,2.0,100
moped,2.0,100
bicycle,5.0,101
moped,11.0,101
moped,2.0,102
moped,29.0,103
bicycle,6.0,104
moped,1.0,104
moped,5.0,105
bicycle,1.0,106
cargo_bicycle,1.0,106
moped,1.0,106
bicycle,1.0,107
moped,1.0,107
bicycle,3.0,108
moped,1.0,108
