0,1,Polygon
moped,16.0,0
moped,9.0,1
moped,7.0,2
moped,2.0,3
moped,11.0,4
cargo_bicycle,2.0,5
moped,22.0,5
bicycle,5.0,6
cargo_bicycle,3.0,6
moped,16.0,6
moped,1.0,7
bicycle,8.0,8
moped,13.0,8
bicycle,1.0,9
moped,2.0,9
bicycle,8.0,10
cargo_bicycle,10.0,10
moped,6.0,10
cargo_bicycle,7.0,11
moped,5.0,11
cargo_bicycle,3.0,12
moped,15.0,12
moped,19.0,13
bicycle,5.0,14
bicycle,30.0,15
cargo_bicycle,2.0,15
moped,12.0,15
bicycle,14.0,16
moped,19.0,16
bicycle,18.0,17
moped,6.0,17
moped,16.0,18
moped,11.0,19
moped,3.0,20
cargo_bicycle,1.0,21
moped,12.0,21
bicycle,10.0,22
moped,11.0,22
moped,26.0,23
cargo_bicycle,1.0,24
moped,2.0,24
bicycle,7.0,25
moped,6.0,25
bicycle,8.0,26
moped,28.0,26
bicycle,28.0,27
cargo_bicycle,8.0,27
moped,31.0,27
bicycle,7.0,28
cargo_bicycle,3.0,28
moped,9.0,28
bicycle,21.0,29
cargo_bicycle,2.0,29
moped,6.0,29
cargo_bicycle,1.0,30
moped,7.0,30
bicycle,2.0,31
moped,7.0,31
bicycle,4.0,32
cargo_bicycle,1.0,32
moped,4.0,32
bicycle,5.0,33
moped,9.0,33
bicycle,12.0,34
cargo_bicycle,3.0,34
moped,22.0,34
bicycle,12.0,36
moped,26.0,36
bicycle,24.0,37
cargo_bicycle,6.0,37
moped,9.0,37
bicycle,12.0,38
cargo_bicycle,4.0,38
moped,15.0,38
bicycle,4.0,39
cargo_bicycle,1.0,39
moped,2.0,39
bicycle,3.0,40
cargo_bicycle,1.0,40
moped,3.0,40
bicycle,50.0,41
moped,6.0,41
bicycle,8.0,42
moped,2.0,42
bicycle,11.0,43
moped,19.0,43
moped,17.0,44
moped,5.0,45
bicycle,19.0,46
moped,5.0,46
cargo_bicycle,3.0,47
moped,5.0,47
cargo_bicycle,2.0,48
moped,20.0,48
bicycle,5.0,50
moped,3.0,50
bicycle,2.0,55
moped,16.0,55
moped,9.0,56
moped,6.0,58
moped,11.0,59
moped,1.0,62
bicycle,21.0,65
moped,2.0,65
bicycle,2.0,66
cargo_bicycle,1.0,66
moped,8.0,66
bicycle,15.0,67
moped,14.0,67
bicycle,12.0,69
moped,6.0,69
moped,2.0,70
moped,5.0,71
moped,10.0,72
bicycle,7.0,74
cargo_bicycle,2.0,74
moped,7.0,74
moped,6.0,75
moped,1.0,76
bicycle,1.0,85
moped,22.0,85
bicycle,4.0,86
moped,4.0,86
moped,9.0,87
bicycle,6.0,88
moped,3.0,88
bicycle,5.0,94
moped,3.0,94
bicycle,7.0,95
cargo_bicycle,2.0,95
moped,1.0,95
moped,15.0,96
moped,6.0,97
scooter,1.0,97
bicycle,5.0,98
moped,7.0,98
bicycle,18.0,99
moped,22.0,99
bicycle,2.0,100
moped,14.0,100
bicycle,6.0,101
moped,7.0,101
bicycle,1.0,102
moped,16.0,102
moped,26.0,103
bicycle,5.0,104
moped,22.0,104
moped,9.0,105
bicycle,2.0,106
cargo_bicycle,1.0,106
moped,10.0,106
bicycle,1.0,107
moped,17.0,107
bicycle,3.0,108
cargo_bicycle,1.0,108
moped,6.0,108
moped,9.0,109
