0,1,Polygon
moped,4.0,0
moped,1.0,1
moped,4.0,2
moped,1.0,3
moped,21.0,4
cargo_bicycle,3.0,5
moped,4.0,5
bicycle,1.0,6
cargo_bicycle,3.0,6
moped,2.0,6
bicycle,8.0,8
moped,27.0,8
bicycle,2.0,9
moped,2.0,9
bicycle,4.0,10
cargo_bicycle,4.0,10
moped,6.0,10
cargo_bicycle,7.0,11
cargo_bicycle,2.0,12
moped,6.0,12
moped,3.0,13
bicycle,9.0,14
moped,6.0,14
bicycle,32.0,15
cargo_bicycle,1.0,15
moped,33.0,15
bicycle,12.0,16
cargo_bicycle,1.0,16
moped,15.0,16
bicycle,13.0,17
moped,13.0,17
moped,2.0,18
moped,2.0,19
moped,3.0,20
moped,9.0,21
bicycle,7.0,22
moped,8.0,22
moped,19.0,23
moped,10.0,24
bicycle,4.0,25
moped,4.0,25
bicycle,5.0,26
moped,33.0,26
bicycle,29.0,27
cargo_bicycle,5.0,27
moped,12.0,27
bicycle,2.0,28
moped,4.0,28
bicycle,15.0,29
cargo_bicycle,1.0,29
moped,4.0,29
bicycle,2.0,30
cargo_bicycle,2.0,30
moped,2.0,30
bicycle,7.0,31
moped,3.0,31
bicycle,3.0,32
bicycle,2.0,33
cargo_bicycle,1.0,33
moped,3.0,33
bicycle,11.0,34
cargo_bicycle,1.0,34
moped,30.0,34
bicycle,7.0,36
moped,16.0,36
bicycle,10.0,37
cargo_bicycle,2.0,37
moped,15.0,37
bicycle,9.0,38
cargo_bicycle,4.0,38
moped,28.0,38
bicycle,2.0,39
cargo_bicycle,2.0,39
moped,3.0,39
bicycle,1.0,40
cargo_bicycle,1.0,40
moped,2.0,40
bicycle,27.0,41
moped,5.0,41
bicycle,18.0,42
moped,5.0,42
bicycle,3.0,43
moped,8.0,43
moped,17.0,44
moped,13.0,45
bicycle,19.0,46
moped,1.0,46
cargo_bicycle,1.0,47
moped,6.0,47
cargo_bicycle,1.0,48
moped,5.0,48
bicycle,5.0,50
moped,3.0,50
moped,2.0,54
bicycle,3.0,55
moped,20.0,55
moped,8.0,56
moped,2.0,59
bicycle,11.0,65
moped,23.0,65
bicycle,13.0,67
moped,11.0,67
bicycle,2.0,69
moped,9.0,69
bicycle,1.0,70
moped,4.0,70
moped,5.0,71
moped,3.0,72
moped,3.0,73
bicycle,6.0,74
cargo_bicycle,3.0,74
moped,3.0,74
moped,5.0,75
moped,4.0,76
bicycle,1.0,85
moped,6.0,85
bicycle,2.0,86
cargo_bicycle,2.0,86
moped,6.0,86
moped,1.0,87
bicycle,7.0,88
moped,2.0,88
bicycle,1.0,94
moped,7.0,94
bicycle,6.0,95
cargo_bicycle,2.0,95
moped,10.0,95
moped,13.0,96
moped,2.0,97
scooter,1.0,97
bicycle,4.0,99
moped,9.0,99
bicycle,1.0,100
moped,1.0,100
bicycle,5.0,101
moped,9.0,101
moped,10.0,102
moped,34.0,103
moped,2.0,105
bicycle,1.0,106
cargo_bicycle,1.0,106
moped,3.0,106
bicycle,3.0,107
bicycle,3.0,108
cargo_bicycle,1.0,108
moped,2.0,109
